1	1	2	193
2	8	2	473
3	8	5	171
4	8	2	387
5	12	2	119
6	16	5	132
7	17	1	194
8	17	4	371
9	19	2	437
10	20	2	395
11	20	1	377
12	20	2	283
13	23	3	493
14	26	4	303
15	27	3	136
16	30	4	397
17	33	4	247
18	35	5	281
19	37	5	176
20	39	5	269
21	43	3	111
22	47	2	389
23	50	4	107
24	53	5	392
25	53	5	305
26	53	2	285
27	54	5	343
28	56	5	220
29	58	1	500
30	61	4	393
31	61	3	264
32	61	2	206
33	65	1	265
34	67	4	110
35	70	5	431
36	75	2	445
37	78	1	329
38	81	1	104
39	83	1	189
40	84	2	117
41	87	1	258
42	88	2	159
43	91	4	478
44	92	1	405
45	93	1	471
46	95	3	457
47	96	2	186
48	99	3	208
49	100	5	375
50	103	1	362
51	104	4	339
52	104	2	317
53	108	3	184
54	110	4	166
55	112	3	409
56	112	1	390
57	113	1	366
58	115	3	179
59	116	3	497
60	121	1	189
61	123	3	278
62	125	2	198
63	128	3	130
64	131	5	312
65	135	3	279
66	135	1	437
67	136	5	256
68	137	2	183
69	141	1	150
70	144	3	246
71	147	2	233
72	147	1	343
73	150	4	161
74	153	1	137
75	154	5	248
76	158	5	465
77	162	4	343
78	165	2	441
79	166	4	468
80	168	5	442
81	170	4	481
82	172	1	168
83	174	1	122
84	176	1	499
85	176	3	492
86	178	5	155
87	179	2	106
88	180	5	210
89	180	3	292
90	180	5	201
91	180	1	247
92	183	3	134
93	185	3	433
94	186	4	374
95	189	1	315
96	192	3	434
97	193	2	195
98	196	3	374
99	198	2	105
100	200	1	386
101	202	3	234
102	203	3	183
103	206	5	149
104	210	2	119
105	212	2	203
106	212	4	223
107	213	3	142
108	217	1	276
109	222	1	239
110	224	1	470
111	224	5	183
112	225	2	488
113	227	1	324
114	229	3	259
115	232	2	219
116	233	5	414
117	235	1	354
118	239	4	263
119	240	3	106
120	245	2	294
121	248	4	454
122	251	5	480
123	255	4	331
124	257	3	415
125	260	2	277
126	262	1	460
127	265	1	242
128	267	3	118
129	269	5	364
130	271	4	181
131	271	2	331
132	274	1	219
133	279	4	257
134	280	1	165
135	282	2	363
136	285	3	154
137	287	2	461
138	288	3	271
139	291	1	488
140	291	2	121
141	294	2	344
142	296	4	182
143	297	4	279
144	300	3	203
145	301	4	441
146	303	1	128
147	305	5	234
148	306	4	285
149	308	1	116
150	311	2	133
151	314	2	275
152	316	2	424
153	318	4	229
154	319	2	397
155	321	3	368
156	322	2	320
157	323	1	430
158	325	4	295
159	325	3	151
160	327	5	116
161	328	4	419
162	330	3	488
163	334	3	188
164	336	5	478
165	338	3	220
166	340	4	479
167	342	5	180
168	346	5	158
169	349	5	110
170	352	1	497
171	359	4	466
172	360	1	479
173	361	3	472
174	361	3	297
175	363	2	458
176	363	2	238
177	370	2	394
178	375	1	333
179	376	3	239
180	379	1	128
181	379	2	107
182	379	1	424
183	380	3	200
184	382	3	440
185	384	5	492
186	385	5	444
187	388	1	443
188	390	3	490
189	394	5	454
190	394	5	311
191	395	4	152
192	396	5	369
193	396	2	146
194	399	1	446
195	402	4	117
196	405	2	482
197	406	2	388
198	409	1	318
199	411	4	476
200	413	3	472
201	414	2	301
202	415	2	404
203	419	1	429
204	421	3	203
205	422	5	142
206	426	3	458
207	427	3	232
208	428	4	233
209	429	3	292
210	430	4	147
211	430	3	229
212	434	3	216
213	437	3	178
214	440	2	142
215	442	1	121
216	444	2	179
217	444	5	260
218	444	2	378
219	447	5	122
220	449	4	320
221	452	1	381
222	453	3	104
223	454	4	485
224	457	5	114
225	458	5	211
226	461	5	320
227	462	1	167
228	464	4	295
229	467	5	414
230	468	4	352
231	471	1	226
232	473	3	312
233	476	4	183
234	478	3	170
235	479	5	376
236	481	4	443
237	481	2	473
238	482	5	199
239	483	2	155
240	484	1	277
241	486	1	212
242	490	3	490
243	492	3	498
244	492	4	387
245	492	5	199
246	493	3	431
247	497	4	432
248	498	2	216
249	499	2	281
250	502	3	175
251	503	5	117
252	505	2	134
253	508	5	230
254	509	3	389
255	514	5	371
256	518	1	214
257	522	2	210
258	522	1	426
259	522	3	403
260	524	1	307
261	526	3	210
262	528	1	492
263	529	4	235
264	529	5	472
265	529	2	397
266	531	1	287
267	531	2	157
268	533	3	380
269	535	4	255
270	538	3	382
271	541	5	393
272	544	4	143
273	548	5	425
274	550	2	432
275	555	5	125
276	556	5	404
277	558	1	215
278	560	5	219
279	560	5	204
280	563	2	352
281	566	3	409
282	567	2	392
283	570	2	482
284	573	4	408
285	577	5	130
286	582	1	322
287	586	2	442
288	588	3	125
289	588	3	172
290	590	5	230
291	590	1	433
292	592	3	163
293	594	1	140
294	595	2	316
295	597	2	117
296	600	2	385
297	602	3	434
298	604	2	319
299	606	5	468
300	607	4	161
301	609	1	226
302	612	5	411
303	616	5	175
304	619	3	499
305	619	3	186
306	622	4	462
307	625	1	102
308	628	4	423
309	630	3	488
310	633	3	328
311	635	1	269
312	637	1	292
313	638	1	287
314	639	4	383
315	640	3	414
316	642	2	482
317	644	2	410
318	647	1	212
319	648	5	240
320	650	5	311
321	653	5	155
322	654	3	433
323	656	5	480
324	656	3	408
325	656	5	434
326	657	5	174
327	659	4	460
328	664	3	278
329	665	4	394
330	666	2	302
331	666	4	208
332	667	4	166
333	669	3	232
334	672	5	335
335	672	2	291
336	673	4	369
337	674	1	348
338	677	1	485
339	678	4	374
340	680	5	403
341	681	1	145
342	683	1	424
343	684	2	377
344	686	2	190
345	688	3	147
346	690	4	234
347	691	2	359
348	692	4	105
349	693	3	384
350	695	1	208
351	696	1	334
352	698	1	344
353	699	1	170
354	699	2	266
355	702	5	138
356	705	5	119
357	705	3	429
358	707	3	154
359	709	5	419
360	709	4	243
361	713	5	375
362	714	3	449
363	715	1	203
364	717	3	243
365	720	2	476
366	724	5	218
367	725	1	214
368	727	1	310
369	731	4	491
370	731	2	302
371	733	1	121
372	736	1	319
373	736	2	493
374	740	3	191
375	743	3	377
376	747	2	369
377	751	1	302
378	758	1	435
379	759	4	445
380	760	2	216
381	761	2	329
382	764	4	216
383	764	3	195
384	766	1	263
385	767	4	259
386	768	5	220
387	772	4	165
388	774	2	498
389	775	5	469
390	775	3	399
391	779	3	429
392	781	1	107
393	782	5	254
394	785	4	100
395	787	5	333
396	787	5	128
397	789	2	331
398	790	4	400
399	793	4	473
400	797	3	212
401	804	5	365
402	806	5	153
403	807	2	122
404	808	1	411
405	811	4	309
406	816	1	239
407	816	2	397
408	820	4	331
409	821	2	448
410	825	2	219
411	829	3	307
412	831	5	212
413	833	5	451
414	833	4	392
415	835	5	270
416	836	1	244
417	838	2	435
418	840	3	179
419	842	2	348
420	845	2	109
421	846	5	161
422	847	5	105
423	854	4	276
424	858	3	172
425	862	5	195
426	864	3	177
427	866	1	146
428	869	5	333
429	870	2	456
430	873	1	340
431	875	5	245
432	880	4	435
433	885	1	234
434	888	3	467
435	890	4	315
436	891	4	314
437	893	1	421
438	896	2	388
439	899	2	262
440	903	3	393
441	910	2	497
442	910	2	127
443	912	5	122
444	913	4	252
445	917	4	335
446	918	3	212
447	918	4	174
448	919	3	410
449	919	3	272
450	924	1	481
451	927	3	244
452	929	2	170
453	929	5	118
454	932	4	482
455	936	1	387
456	937	4	147
457	938	4	242
458	940	2	243
459	942	1	129
460	946	4	329
461	947	3	135
462	948	5	167
463	951	2	432
464	953	1	188
465	955	5	424
466	957	2	480
467	958	2	241
468	960	2	430
469	961	2	205
470	962	1	275
471	963	1	460
472	965	1	428
473	968	3	352
474	971	4	182
475	973	3	142
476	974	5	141
477	979	5	216
478	981	4	188
479	982	2	366
480	983	3	120
481	985	4	233
482	987	3	120
483	987	1	326
484	988	2	467
485	991	5	196
486	992	5	275
487	994	2	277
488	996	2	162
489	998	2	328
490	998	1	221
491	999	3	398
492	1000	2	166
493	1002	5	320
494	1004	4	465
495	1004	2	360
496	1007	1	330
497	1007	3	427
498	1011	1	391
499	1011	1	297
500	1015	2	250
